run_ID	index_comments	query_comments	query_id	total_obtenidos	total_relevantes	relevantes_obtenidos	top_r_precision_cant	precision	recall	r_precision	f_Measure	
[5] tp1	default	title@title , desc@abstract , title+desc@mesh ; title , abstract , mesh	OHSU51	8962	18	5	18	0.0005579111805400581	0.2777777777777778	0.2222222222222222	0.00111358574610245	
[5] tp1	default	title@title , desc@abstract , title+desc@mesh ; title , abstract , mesh	OHSU52	38953	5	3	5	0.00007701589094549841	0.6	0.2	0.00015401201293700905	
[5] tp1	default	title@title , desc@abstract , title+desc@mesh ; title , abstract , mesh	OHSU53	38187	6	3	6	0.0000785607667530835	0.5	0.16666666666666666	0.00015709685020815333	
[5] tp1	default	title@title , desc@abstract , title+desc@mesh ; title , abstract , mesh	OHSU54	43244	8	5	8	0.00011562297659790954	0.625	0.375	0.00023120318135577545	
[5] tp1	default	title@title , desc@abstract , title+desc@mesh ; title , abstract , mesh	OHSU55	96	10	0	10	0	0	0	�	
[5] tp1	default	title@title , desc@abstract , title+desc@mesh ; title , abstract , mesh	OHSU56	43972	4	3	4	0.00006822523423997089	0.75	0.25	0.00013643805712206658	
[5] tp1	default	title@title , desc@abstract , title+desc@mesh ; title , abstract , mesh	OHSU57	25832	4	2	4	0.0000774233508826262	0.5	0.5	0.00015482272797646694	
[5] tp1	default	title@title , desc@abstract , title+desc@mesh ; title , abstract , mesh	OHSU58	35370	3	0	3	0	0	0	�	
[5] tp1	default	title@title , desc@abstract , title+desc@mesh ; title , abstract , mesh	OHSU59	50708	10	3	10	0.000059162262364912836	0.3	0.3	0.0001183011948420679	
[5] tp1	default	title@title , desc@abstract , title+desc@mesh ; title , abstract , mesh	OHSU60	47997	6	1	6	0.000020834635498051962	0.16666666666666666	0	0.00004166406266275025	
[5] tp1	default	title@title , desc@abstract , title+desc@mesh ; title , abstract , mesh	OHSU61	48397	6	1	6	0.000020662437754406264	0.16666666666666666	0	0.00004131975290787761	
[5] tp1	default	title@title , desc@abstract , title+desc@mesh ; title , abstract , mesh	OHSU62	45293	4	2	4	0.00004415693374252092	0.5	0	0.00008830606883458066	
[5] tp1	default	title@title , desc@abstract , title+desc@mesh ; title , abstract , mesh	OHSU63	44954	4	0	4	0	0	0	�	
